


Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,1024,948,557,51464.796875,0.010823
2,1000,0.1,0.2,50.0,1000,1006,902,524,50414.105469,0.010394
3,1000,0.1,0.2,50.0,1000,1000,895,494,50596.417969,0.009764
4,1000,0.1,0.2,50.0,1000,978,882,524,48792.652344,0.010739
5,1000,0.1,0.2,50.0,1000,1008,918,565,50692.371094,0.011146
6,1000,0.1,0.2,50.0,1000,991,900,518,50368.578125,0.010284
7,1000,0.1,0.2,50.0,1000,1011,916,504,50635.238281,0.009954
8,1000,0.1,0.2,50.0,1000,988,896,517,49119.792969,0.010525
9,1000,0.1,0.2,50.0,1000,1008,898,500,50954.925781,0.009813
10,1000,0.1,0.2,50.0,1000,1007,901,514,51134.328125,0.010052
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,1030,838,434,51437.429688,0.008437
2,1000,0.2,0.2,50.0,1000,1000,792,406,49562.210938,0.008192
3,1000,0.2,0.2,50.0,1000,979,802,420,48017.746094,0.008747
4,1000,0.2,0.2,50.0,1000,994,788,413,49201.925781,0.008394
5,1000,0.2,0.2,50.0,1000,1000,822,449,49573.515625,0.009057
6,1000,0.2,0.2,50.0,1000,1019,814,421,51103.289062,0.008238
7,1000,0.2,0.2,50.0,1000,1006,802,409,49558.328125,0.008253
8,1000,0.2,0.2,50.0,1000,980,791,411,48186.667969,0.008529
9,1000,0.2,0.2,50.0,1000,1028,810,414,51408.859375,0.008053
10,1000,0.2,0.2,50.0,1000,1029,800,418,50949.707031,0.008204
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,1017,624,246,50504.402344,0.004871
2,1000,0.4,0.2,50.0,1000,1026,646,245,50195.691406,0.004881
3,1000,0.4,0.2,50.0,1000,1004,628,234,49514.957031,0.004726
4,1000,0.4,0.2,50.0,1000,1014,609,244,50238.019531,0.004857
5,1000,0.4,0.2,50.0,1000,992,602,260,49195.671875,0.005285
6,1000,0.4,0.2,50.0,1000,1002,598,226,50171.210938,0.004505
7,1000,0.4,0.2,50.0,1000,1019,602,225,50199.945312,0.004482
8,1000,0.4,0.2,50.0,1000,1007,643,262,50554.519531,0.005183
9,1000,0.4,0.2,50.0,1000,1001,596,236,48935.492188,0.004823
10,1000,0.4,0.2,50.0,1000,1009,613,239,49450.566406,0.004833
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,1034,430,120,51827.566406,0.002315
2,1000,0.6,0.2,50.0,1000,996,386,105,49876.789062,0.002105
3,1000,0.6,0.2,50.0,1000,1018,399,93,50914.636719,0.001827
4,1000,0.6,0.2,50.0,1000,1012,394,111,49992.128906,0.002220
5,1000,0.6,0.2,50.0,1000,1021,409,111,50857.605469,0.002183
6,1000,0.6,0.2,50.0,1000,1000,404,116,49524.675781,0.002342
7,1000,0.6,0.2,50.0,1000,999,400,104,49177.308594,0.002115
8,1000,0.6,0.2,50.0,1000,1023,405,97,50912.511719,0.001905
9,1000,0.6,0.2,50.0,1000,997,391,101,49040.875000,0.002060
10,1000,0.6,0.2,50.0,1000,1031,419,116,50887.722656,0.002280
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,1002,202,24,50140.859375,0.000479
2,1000,0.8,0.2,50.0,1000,992,209,30,49516.281250,0.000606
3,1000,0.8,0.2,50.0,1000,1022,213,20,51153.851562,0.000391
4,1000,0.8,0.2,50.0,1000,1020,188,19,50967.937500,0.000373
5,1000,0.8,0.2,50.0,1000,1000,224,31,50206.621094,0.000617
6,1000,0.8,0.2,50.0,1000,1026,211,31,51263.687500,0.000605
7,1000,0.8,0.2,50.0,1000,989,200,28,49342.820312,0.000567
8,1000,0.8,0.2,50.0,1000,1011,207,33,50657.464844,0.000651
9,1000,0.8,0.2,50.0,1000,978,180,26,48743.113281,0.000533
0,1000,0.8,0.2,50.0,1000,1007,186,20,50533.351562,0.000396


























































Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,1030,838,434,51437.429688,0.008437
2,1000,0.2,0.2,50.0,1000,1000,792,406,49562.210938,0.008192
3,1000,0.2,0.2,50.0,1000,979,802,420,48017.746094,0.008747
4,1000,0.2,0.2,50.0,1000,994,788,413,49201.925781,0.008394
5,1000,0.2,0.2,50.0,1000,1000,822,449,49573.515625,0.009057
6,1000,0.2,0.2,50.0,1000,1019,814,421,51103.289062,0.008238
7,1000,0.2,0.2,50.0,1000,1006,802,409,49558.328125,0.008253
8,1000,0.2,0.2,50.0,1000,980,791,411,48186.667969,0.008529
9,1000,0.2,0.2,50.0,1000,1028,810,414,51408.859375,0.008053
10,1000,0.2,0.2,50.0,1000,1029,800,418,50949.707031,0.008204
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,1043,541,169,51372.375000,0.003290
2,1000,0.5,0.2,50.0,1000,1024,520,158,50644.667969,0.003120
3,1000,0.5,0.2,50.0,1000,1010,496,165,50127.703125,0.003292
4,1000,0.5,0.2,50.0,1000,981,512,172,48385.460938,0.003555
5,1000,0.5,0.2,50.0,1000,971,503,179,48693.894531,0.003676
6,1000,0.5,0.2,50.0,1000,1020,502,156,50924.507812,0.003063
7,1000,0.5,0.2,50.0,1000,1019,498,148,50009.714844,0.002959
8,1000,0.5,0.2,50.0,1000,1030,529,179,51358.933594,0.003485
9,1000,0.5,0.2,50.0,1000,988,495,153,48697.121094,0.003142
10,1000,0.5,0.2,50.0,1000,1010,517,164,49817.074219,0.003292
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,1002,202,24,50140.859375,0.000479
2,1000,0.8,0.2,50.0,1000,992,209,30,49516.281250,0.000606
3,1000,0.8,0.2,50.0,1000,1022,213,20,51153.851562,0.000391
4,1000,0.8,0.2,50.0,1000,1020,188,19,50967.937500,0.000373
5,1000,0.8,0.2,50.0,1000,1000,224,31,50206.621094,0.000617
6,1000,0.8,0.2,50.0,1000,1026,211,31,51263.687500,0.000605
7,1000,0.8,0.2,50.0,1000,989,200,28,49342.820312,0.000567
8,1000,0.8,0.2,50.0,1000,1011,207,33,50657.464844,0.000651
9,1000,0.8,0.2,50.0,1000,978,180,26,48743.113281,0.000533
10,1000,0.8,0.2,50.0,1000,1007,186,20,50533.351562,0.000396





























Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,20,0.2,0.2,50.0,20,59,49,18,1082.972656,0.016621
2,20,0.2,0.2,50.0,20,31,29,19,1010.969788,0.018794
3,20,0.2,0.2,50.0,20,49,39,19,897.448242,0.021171
4,20,0.2,0.2,50.0,20,37,29,17,1057.374512,0.016078
5,20,0.2,0.2,50.0,20,67,52,3,863.189087,0.003475
6,20,0.2,0.2,50.0,20,63,47,19,1045.422974,0.018174
7,20,0.2,0.2,50.0,20,111,83,0,1240.105347,0.000000
8,20,0.2,0.2,50.0,20,37,30,19,1074.838379,0.017677
9,20,0.2,0.2,50.0,20,76,55,0,864.393433,0.000000
10,20,0.2,0.2,50.0,20,71,50,13,868.410583,0.014970





















































Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,20,0.2,0.2,50.0,20,19,17,8,1132.439819,0.007064
2,20,0.2,0.2,50.0,20,26,19,2,950.508850,0.002104
3,20,0.2,0.2,50.0,20,22,20,3,1013.883362,0.002959
4,20,0.2,0.2,50.0,20,28,24,13,1147.468140,0.011329
5,20,0.2,0.2,50.0,20,24,24,12,1074.555542,0.011167
6,20,0.2,0.2,50.0,20,19,17,11,802.299927,0.013711
7,20,0.2,0.2,50.0,20,25,23,10,1256.050903,0.007961
8,20,0.2,0.2,50.0,20,19,17,7,1023.561646,0.006839
9,20,0.2,0.2,50.0,20,33,16,3,1032.101440,0.002907
10,20,0.2,0.2,50.0,20,30,20,3,1003.626892,0.002989




















































Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput



























































Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,20,0.2,0.2,50.0,20,169,67,15,902.184204,0.016626
2,20,0.2,0.2,50.0,20,42,32,19,1128.014404,0.016844
3,20,0.2,0.2,50.0,20,49,40,19,852.482239,0.022288
4,20,0.2,0.2,50.0,20,48,36,18,955.981873,0.018829
5,20,0.2,0.2,50.0,20,39,33,19,1046.696899,0.018152
6,20,0.2,0.2,50.0,20,47,32,19,1268.318115,0.014980
7,20,0.2,0.2,50.0,20,50,41,19,919.479187,0.020664
8,20,0.2,0.2,50.0,20,37,30,19,1072.226562,0.017720
9,20,0.2,0.2,50.0,20,45,36,19,1062.040527,0.017890
10,20,0.2,0.2,50.0,20,67,50,18,987.464233,0.018229
















































Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput











Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,1909,1727,999,49915.039062,0.020014
2,1000,0.1,0.2,50.0,1000,1983,1801,999,50402.117188,0.019821
3,1000,0.1,0.2,50.0,1000,1970,1773,999,48734.062500,0.020499
4,1000,0.1,0.2,50.0,1000,1879,1690,999,50643.187500,0.019726
5,1000,0.1,0.2,50.0,1000,1893,1687,999,49831.906250,0.020047
6,1000,0.1,0.2,50.0,1000,1949,1770,999,48077.828125,0.020779
7,1000,0.1,0.2,50.0,1000,1942,1740,999,50148.218750,0.019921
8,1000,0.1,0.2,50.0,1000,1905,1729,999,50656.855469,0.019721
9,1000,0.1,0.2,50.0,1000,1949,1759,998,48403.234375,0.020618
10,1000,0.1,0.2,50.0,1000,1907,1720,999,49632.167969,0.020128
